,stay_date,report_date,lead_in,individual_reservation_change_3_actual,individual_reservation_change_3_predicted
0,2023-02-01,2023-02-01,0,0,1.459684
1,2023-02-02,2023-02-01,1,2,3.5650527
2,2023-02-02,2023-02-02,0,0,0.6749772
3,2023-02-03,2023-02-01,2,7,5.012518
4,2023-02-03,2023-02-02,1,4,3.308666
5,2023-02-03,2023-02-03,0,0,0.8642485
6,2023-02-04,2023-02-01,3,18,8.226212
7,2023-02-04,2023-02-02,2,11,7.639245
8,2023-02-04,2023-02-03,1,7,5.1978292
9,2023-02-04,2023-02-04,0,1,1.5513977
10,2023-02-04,2023-02-05,-1,0,0.9169852
11,2023-02-05,2023-02-01,4,3,4.800543
12,2023-02-05,2023-02-02,3,2,5.56317
13,2023-02-05,2023-02-03,2,1,4.6023088
14,2023-02-05,2023-02-04,1,1,2.6575465
15,2023-02-05,2023-02-05,0,0,0.83325034
16,2023-02-06,2023-02-01,5,8,7.2125616
17,2023-02-06,2023-02-02,4,7,6.9584327
18,2023-02-06,2023-02-03,3,14,7.5459466
19,2023-02-06,2023-02-04,2,11,7.373545
20,2023-02-06,2023-02-05,1,10,5.2187824
21,2023-02-06,2023-02-06,0,0,1.04453
22,2023-02-07,2023-02-01,6,12,7.6974587
23,2023-02-07,2023-02-02,5,8,6.6391973
24,2023-02-07,2023-02-03,4,9,7.2667756
25,2023-02-07,2023-02-04,3,13,10.210066
26,2023-02-07,2023-02-05,2,12,9.887887
27,2023-02-07,2023-02-06,1,6,5.736931
28,2023-02-07,2023-02-07,0,0,0.61487025
29,2023-02-08,2023-02-01,7,9,7.49357
30,2023-02-08,2023-02-02,6,9,6.843526
31,2023-02-08,2023-02-03,5,7,6.696602
32,2023-02-08,2023-02-04,4,11,8.038256
33,2023-02-08,2023-02-05,3,12,9.653184
34,2023-02-08,2023-02-06,2,9,9.036538
35,2023-02-08,2023-02-07,1,4,3.6736968
36,2023-02-08,2023-02-08,0,0,1.0540979
37,2023-02-09,2023-02-01,8,3,4.291459
38,2023-02-09,2023-02-02,7,3,3.851628
39,2023-02-09,2023-02-03,6,3,4.3199925
40,2023-02-09,2023-02-04,5,6,5.6586776
41,2023-02-09,2023-02-05,4,6,6.8203874
42,2023-02-09,2023-02-06,3,9,7.4265766
43,2023-02-09,2023-02-07,2,5,6.601128
44,2023-02-09,2023-02-08,1,4,4.036491
45,2023-02-09,2023-02-09,0,0,0.8264189
46,2023-02-10,2023-02-01,9,1,4.2014103
47,2023-02-10,2023-02-02,8,1,3.9332952
48,2023-02-10,2023-02-03,7,0,4.2863603
49,2023-02-10,2023-02-04,6,2,5.386456
50,2023-02-10,2023-02-05,5,5,6.090818
51,2023-02-10,2023-02-06,4,7,6.534513
52,2023-02-10,2023-02-07,3,8,7.562999
53,2023-02-10,2023-02-08,2,5,6.0920863
54,2023-02-10,2023-02-09,1,3,3.8098702
55,2023-02-10,2023-02-10,0,0,0.92829895
56,2023-02-11,2023-02-01,10,1,4.908135
57,2023-02-11,2023-02-02,9,2,4.983843
58,2023-02-11,2023-02-03,8,3,5.340714
59,2023-02-11,2023-02-04,7,5,6.318563
60,2023-02-11,2023-02-05,6,10,6.7141104
61,2023-02-11,2023-02-06,5,10,6.9397135
62,2023-02-11,2023-02-07,4,8,7.543958
63,2023-02-11,2023-02-08,3,3,8.72156
64,2023-02-11,2023-02-09,2,1,8.381001
65,2023-02-11,2023-02-10,1,1,5.5705943
66,2023-02-11,2023-02-11,0,0,1.9666232
67,2023-02-12,2023-02-01,11,0,2.147213
68,2023-02-12,2023-02-02,10,2,1.8280604
69,2023-02-12,2023-02-03,9,2,2.0612895
70,2023-02-12,2023-02-04,8,2,2.951535
71,2023-02-12,2023-02-05,7,0,3.7537565
72,2023-02-12,2023-02-06,6,1,3.8488572
73,2023-02-12,2023-02-07,5,2,4.4685984
74,2023-02-12,2023-02-08,4,3,4.481351
75,2023-02-12,2023-02-09,3,3,4.6280093
76,2023-02-12,2023-02-10,2,2,4.0481896
77,2023-02-12,2023-02-11,1,1,2.8591077
78,2023-02-12,2023-02-12,0,0,0.79071933
79,2023-02-13,2023-02-01,12,0,2.9875908
80,2023-02-13,2023-02-02,11,0,2.917911
81,2023-02-13,2023-02-03,10,1,4.8800163
82,2023-02-13,2023-02-04,9,2,6.6502514
83,2023-02-13,2023-02-05,8,8,8.046268
84,2023-02-13,2023-02-06,7,13,8.047013
85,2023-02-13,2023-02-07,6,20,7.757163
86,2023-02-13,2023-02-08,5,15,7.3398466
87,2023-02-13,2023-02-09,4,9,7.581881
88,2023-02-13,2023-02-10,3,2,7.447465
89,2023-02-13,2023-02-11,2,1,7.2503557
90,2023-02-13,2023-02-12,1,1,5.4947286
91,2023-02-13,2023-02-13,0,0,1.0025814
